name,gender,description,age,job,hobby,categories_liked,categories_disliked
Lily Jackson,F,"a CIO (Chief Information Officer) in a tech company and a passionate player of laser tag. She is a very outgoing person, loves to travel and explore new places, cultures and history. She is interested in business and religious studies, and enjoys reading about the relationship between technology and society. Lily is also fascinated by the human mind and behaviour, but is not a fan of psychology books.",30,CIO (Chief Information Officer),Laser tag,"['Travel', 'Business', 'Religion', 'Social Science']","['Fiction', 'Disciplines', 'Recreation', 'Psychology']"
Marcus Williams,M,"a retired person who loves auto racing. He has a great interest in biography, architecture, and foreign language study. He enjoys reading and learning about different cultures, and is also a fan of crafts. He is not particularly interested in fiction, economics, education and political science. Marcus enjoys reading books about racing and cars, such as ""The Art of Racing in the Rain"" by Garth Stein and ""The Fast Lane"" by Richard Rayner.",74,retired,Auto racing,"['Biography', 'Architecture', 'Foreign Language Study', 'Crafts']","['Fiction', 'Economics', 'Education', 'Political Science']"
Ava Green,F,"a Sales Representative and a big fan of crystals, she enjoys reading books about their properties and uses. She is a true crime enthusiast, and loves reading books about historical events and people. Ava is also interested in biography, economics and history. She dislikes fiction, cooking, religion, and hobbies. Some of her favorite books include ""The Devil in the White City"" by Erik Larson, ""In Cold Blood"" by Truman Capote, and ""The Economic Weapon"" by Dr. Boyce Rensberger.",52,Sales Representative,Crystals,"['True Crime', 'History', 'Biography', 'Economics']","['Fiction', 'Cooking', 'Religion', 'Hobbies']"
David Brown,M,"a schoolchild and a basketball player. He loves reading books about business and language arts, as well as books about his family and history. He is not particularly interested in disciplines, travel, autobiography, and juvenile fiction. He enjoys reading books that are age-appropriate, such as ""The Magic Tree House"" series by Mary Pope Osborne and ""Diary of a Wimpy Kid"" by Jeff Kinney.",11,schoolchild,Basketball,"['Business', 'Language Arts', 'Family', 'History']","['Disciplines', 'Travel', 'Autobiography', 'Juvenile Fiction']"
Emma Wilson,F,"a schoolchild and her favorite hobby is writing stories. She enjoys reading books about economics, body, education, and health. She is interested in understanding how the world works and how to stay healthy. She enjoys reading books that are informative and easy to understand. She also enjoys writing her own stories, and often writes about adventures and mysteries.",11,schoolchild,Writing stories,"['Economics', 'Body', 'Education', 'Health']","['Cooking', 'Social Science', 'Juvenile Fiction', 'Fiction']"
John Smith,M,"a student and his favorite hobby is association football. He enjoys reading books about religion, autobiography, medical, and fiction. He is interested in understanding different beliefs and learning about the human body. He enjoys reading books that are inspiring and easy to understand. He also enjoys playing football with his friends, and often plays in local leagues.",21,student,Association football,"['Religion', 'Autobiography', 'Medical', 'Fiction']","['Economics', 'Education', 'Sports', 'Performing Arts']"
Clara Brown,F,"a schoolchild and her favorite hobby is building with Lego. She enjoys reading books about recreation, autobiography, political science, and fiction. She is interested in learning about different careers and how the world works. She enjoys reading books that are fun and easy to understand. She also enjoys building with Lego and creating her own designs.",8,schoolchild,Building with Lego,"['Recreation', 'Autobiography', 'Political Science', 'Fiction']","['Religion', 'Juvenile Fiction', 'Hobbies', 'Body']"
David Johnson,M,"retired and his favorite hobby is research. He enjoys reading books about fiction, computers, family, and body. He is interested in learning about new technology and staying healthy. He enjoys reading books that are informative and easy to understand. He also enjoys researching different topics and learning new things.",62,retired,Research,"['Fiction', 'Computers', 'Family', 'Body']","['Economics', 'Autobiography', 'Self-Help', 'Business']"
Luna James,F,"a schoolchild and loves playing guitar. She is very much interested in Business, Religion, History, and Body, as per her reading preferences. She likes to read books that are related to these topics, as she finds them very fascinating. She is very curious and likes to learn new things. She is not much interested in Fiction, Nature, Hobbies, and Education. She believes that these topics are not interesting and do not hold much value. She is a very practical person and likes to focus on things that are useful for her.",8,schoolchild,Playing guitar,"['Business', 'Religion', 'History', 'Body']","['Fiction', 'Nature', 'Hobbies', 'Education']"
Liam Johnson,M,"a retired person and loves Archery. He is very much interested in Autobiography, Juvenile Nonfiction, Spirit, and Fitness, as per his reading preferences. He likes to read books that are related to these topics, as he finds them very inspiring. He is a very spiritual person and likes to read books that help him connect with his inner self. He is not much interested in Fiction, Biography, Economics, and Computers. He believes that these topics are not relevant to his life and do not hold much value. He is a very content person and likes to focus on things that bring him peace and happiness.",67,retired,Archery,"['Autobiography', 'Juvenile Nonfiction', 'Spirit', 'Fitness']","['Fiction', 'Biography', 'Economics', 'Computers']"
