"name","gender","description","age","job","hobby"
"John Miller","M","a retired teacher, who now dedicates his time to vegetable farming in his backyard. He is passionate about growing tomatoes, carrots and potatoes. He also enjoys fishing and bird watching during his free time. John is a member of a local environmental conservation group, where he volunteers to plant trees and clean up the rivers. He is also a collector of antique coins and stamps. His favorite dish is homemade tomato soup with a side of freshly baked bread.","74","retired","Vegetable farming"
"Emily Johnson","F","a high school student who loves guerrilla gardening. She enjoys sneaking out at night to plant seeds and flowers in empty urban spaces. She is also an active member of her school's environmental club, where she participates in beach cleanups and recycling initiatives. Emily has a passion for photography, particularly macro photography of insects and plants. She loves to read fantasy novels and practice parkour during her free time. Her favorite dish is a fresh salad with homemade dressing.","16","student","Guerrilla gardening"
"Mark Thompson","M","a high school student who enjoys playing airsoft with his friends. He is a member of an airsoft club, where he participates in different types of games and events. Mark is also a talented painter, he likes to paint landscapes and portraits during his free time. He is a big fan of classical music and loves to attend concerts. Mark also enjoys cooking and baking, his favorite dish is a homemade cheesecake.","17","student","Airsoft"
"Sarah Johnson","F","a retired librarian, who now dedicates her time to collecting ephemera, such as tickets, postcards and brochures. She loves to organize and display her collection in her home. Sarah is also an avid reader and a member of a local book club. She enjoys knitting and crocheting during her free time. She loves to travel and attend the theater, her favorite play is ""Romeo and Juliet"". Her favorite dish is a warm bowl of homemade chicken soup.","68","retired","Ephemera collecting"
"Emily Johnson","F","a retired teacher of history. Her main hobby is railway studies, she loves to collect pictures and information about old trains. She also enjoys painting, especially landscapes, and watching historical documentaries and films. Her favorite director is Stanley Kubrick and she is fond of his attention to details. She is also a member of a local theater club where she occasionally participates as an actress.","65","retired","Railway studies"
"Tom Brown","M","a retired lawyer. His main hobby is debate, he loves to attend debating clubs and participate in discussions about current topics. He also enjoys playing chess and watching science fiction movies. His favorite director is Christopher Nolan and he appreciates his complex and intriguing plots. He is also a member of a local gardening club where he cultivates rare plants.","70","retired","Debate"
"Sarah Taylor","F","a pilot. Her main hobby is beekeeping, she has her own beehive and loves to collect honey. She also enjoys playing the guitar and watching romantic comedies. Her favorite director is Quentin Tarantino and she is amazed by his original and distinctive dialogues. She is also a member of a local dancing club where she practices salsa.","37","Pilot","Beekeeping"
"Jack Smith","M","a schoolchild. His main hobby is collecting stamps, he has a big collection of stamps from all around the world. He also enjoys playing basketball and watching action movies. His favorite director is Steven Spielberg and he admires his ability to create suspense and excitement. He is also a member of a local astronomy club where he learns about stars and planets.","15","schoolchild","Collecting stamps"
"John Smith","M","a therapist, he enjoys collecting and pressing flowers in his free time, he has a large collection of pressed flowers that he has collected from all around the world. He also enjoys hiking and bird watching, he is a very calm and serene person, who enjoys spending time in nature, he also has a passion for painting, he likes to paint landscapes and flowers, he has a degree in fine arts and psychology. John is a very interesting person, who has a lot of hobbies and interests.","32","Therapist","Flower collecting and pressing"
"Emma Watson","F","a biologist, she enjoys playing squash in her free time, she is a very competitive person and enjoys sports, she also enjoys hiking and bird watching, she has a passion for photography, she likes to take pictures of nature and wildlife, she also enjoys cooking and baking, she is a very creative person who enjoys doing a lot of different things.","29","Biologist","Squash"
"David Beckham","M","a schoolchild, he enjoys collecting cards in his free time, he has a large collection of cards from different sports, he also enjoys playing soccer and riding his bike, he has a passion for painting and drawing, he likes to draw different animals and superheroes, he also enjoys playing the piano, he is a very creative and talented person who enjoys doing a lot of different things.","6","schoolchild","Collecting cards"
"Anna Kendrick","F","an apprentice, she enjoys playing shogi in her free time, she is a very competitive person and enjoys playing strategic games, she also enjoys hiking and bird watching, she has a passion for photography, she likes to take pictures of nature and architecture, she also enjoys cooking and baking, she is a very creative person who enjoys doing a lot of different things.","24","apprentice","Shogi"
