"name","gender","genres_liked","genres_disliked","description","age","job","hobby"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a retired person who loves to spend his time farming vegetables in his backyard, he also enjoys watching movies of any kind, his favorites are action movies because he likes to see the heroes defeating the villains and saving the day, he also likes comedy movies because they make him laugh and forget about his age, he doesn't like horror movies because they give him nightmares and he doesn't like romance movies because he thinks they are too dramatic and not realistic, John also enjoys playing chess, listening to classic music and reading mystery books.","74","retired","Vegetable farming"
"Emily Johnson","F","['romance', 'fantasy']","['horror', 'action']","a student who loves to spend her time practicing guerrilla gardening in the city, she also enjoys watching movies of any kind, her favorites are romance movies because she loves to see the love stories and how the characters overcome their problems, she also likes fantasy movies because they transport her to different worlds and she can imagine herself as a hero, she doesn't like horror movies because they scare her and she doesn't like action movies because she thinks they are too violent and not realistic, Emily also enjoys playing the piano, painting and reading science fiction books.","16","student","Guerrilla gardening"
"Mark Williams","M","['action', 'documentary']","['romance', 'animation']","a student who loves to spend his time practicing airsoft with his friends, he also enjoys watching movies of any kind, his favorites are action movies because he likes to see the heroes defeating the villains and saving the day, he also likes documentary movies because they show him real stories and he can learn from them, he doesn't like romance movies because he finds them boring and not interesting, he doesn't like animation movies because he thinks they are only for kids, Mark also enjoys playing video games, riding his bike and reading history books.","17","student","Airsoft"
"Sarah Taylor","F","['comedy', 'family']","['horror', 'action']","a retired person who loves to spend her time collecting ephemera, she also enjoys watching movies of any kind, her favorites are comedy movies because they make her laugh and she can forget about her problems, she also likes family movies because they have a good message and she can watch them with her grandkids, she doesn't like horror movies because they give her nightmares, and she doesn't like action movies because she finds them too violent, Sarah also enjoys playing chess, knitting and reading mystery books.","68","retired","Ephemera collecting"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a retired teacher, he spends his time by studying railway history and attending to railway clubs, he is also a member of a community theater where he act in comedy plays, he has a lot of interest in classical music and he also likes to play chess with his friends.","65","retired","Railway studies"
"Emily Johnson","F","['documentary', 'animation']","['horror', 'action']","a retired lawyer, now she spends her time by attending to debate clubs and participating in public speaking competitions, she also enjoys watching animation movies with her grandchildren, she has a lot of interest in reading novels and she also likes to cook for her family.","70","retired","Debate"
"Mark Smith","M","['action', 'comedy']","['horror', 'romance']","a pilot, he spends his free time by practicing beekeeping in his own bee farm, he also likes to play basketball with his friends, he has a lot of interest in history and he also likes to travel to new places.","37","Pilot","Beekeeping"
"Sarah Williams","F","['romance', 'animation']","['horror', 'action']","a schoolchild, she spends her time by collecting stamps and attending to stamp clubs, she also enjoys watching romantic movies with her friends, she has a lot of interest in painting and she also likes to play the piano.","15","schoolchild","Collecting stamps"
"John Doe","M","['action', 'comedy']","['horror', 'romance']","a therapist and he likes to collect and press flowers in his free time, he is a very calm person and he likes to watch action movies and comedy movies to relax, he dislikes horror movies because they are too intense for him and he is not a fan of romance movies because he finds them too predictable, John has a passion for photography and he loves to travel and discover new places.","32","Therapist","Flower collecting and pressing"
"Emily Smith","F","['documentary', 'animation']","['action', 'horror']","a biologist and she loves to play squash in her free time, she is a very curious person and she likes to watch documentary movies to learn new things and animation movies to have fun, she dislikes action movies because they are too intense for her and she is not a fan of horror movies because they are too scary, Emily has a passion for reading and she loves to cook new recipes.","29","Biologist","Squash"
"Alexander Brown","M","['fantasy', 'family']","['horror', 'action']","a schoolchild and he likes to collect cards in his free time, he is a very imaginative person and he likes to watch fantasy movies to get lost in new worlds and family movies to spend time with his family, he dislikes horror movies because they are too scary for him and he is not a fan of action movies because they are too intense, Alexander has a passion for drawing and he loves to play with his toy cars.","6","schoolchild","Collecting cards"
"Charlotte Wilson","F","['romance', 'fantasy']","['horror', 'action']","an apprentice and she likes to play shogi in her free time, she is a very romantic person and she likes to watch romance movies to get carried away by the stories and fantasy movies to dream about magical worlds, she dislikes horror movies because they are too intense for her and she is not a fan of action movies because they are too violent, Charlotte has a passion for reading and she loves to listen to music.","24","apprentice","Shogi"
"John Smith","M","['action', 'comedy']","['horror', 'romance']","a retired engineer, he enjoys cycling and spending time in nature, he also has a passion for cooking and reading mystery books. His favorite genres are action and comedy, because they make him feel excited and entertained. He doesn't like horror movies, because they give him nightmares and he avoids romance movies, because he finds them boring and unrealistic.","71","retired","Cycling"
"Emily Johnson","F","['romance', 'family']","['horror', 'action']","a data entry operator, she loves playing netball and spending time with her family, she also enjoys knitting and listening to music. Her favorite genres are romance and family, because they make her feel warm and connected. She doesn't like horror movies, because they are too scary and she avoids action movies, because they are too intense and noisy.","43","Data Entry Operator","Netball"
"Mark Lee","M","['documentary', 'animation']","['horror', 'romance']","a florist, he enjoys renovating his house and watching documentaries, he also has a passion for painting and listening to classical music. His favorite genres are documentary and animation, because they are educational and entertaining. He doesn't like horror movies, because they are too scary and he avoids romance movies, because they are too predictable.","57","Florist","Renovating"
"Sarah Brown","F","['comedy', 'fantasy']","['horror', 'action']","a retired teacher, she enjoys aircraft spotting and going to the theater, she also has a passion for gardening and reading mystery books. Her favorite genres are comedy and fantasy, because they make her laugh and they take her to imaginary worlds. She doesn't like horror movies, because they are too scary and she avoids action movies, because they are too noisy and violent.","61","retired","Aircraft spotting"
"John Doe","M","['action', 'comedy']","['horror', 'romance']","a benefits administrator in a medium size company. He loves to jog on the weekends and he is a big fan of action movies because they get his adrenaline pumping, he also enjoys comedy movies because they help him to relieve stress after a long week of work. John dislikes horror movies because they give him nightmares and romance movies because they are too sappy for his taste.","56","Benefits Administrator","Jogging"
"Jane Smith","F","['romance', 'animation']","['horror', 'action']","a schoolchild and she loves to act in school plays. She loves to watch romance movies because she believes in love and she also enjoys animation movies because they transport her to a magical world. She dislikes horror movies because they are scary and action movies because they are too violent for her taste.","5","schoolchild","Acting"
"Mike Johnson","M","['documentary', 'family']","['horror', 'action']","a retired person who enjoys skateboarding. He loves to watch documentaries because they teach him new things and he also enjoys family movies because they are wholesome and entertaining. He dislikes horror movies because they are too scary and action movies because they are too intense for his taste.","64","retired","Skateboarding"
"Sarah Williams","F","['comedy', 'fantasy']","['horror', 'romance']","a locksmith and she loves to play with radio-controlled models. She enjoys comedy movies because they make her laugh and fantasy movies because they take her to a magical world. She dislikes horror movies because they are too scary and romance movies because they are too sappy for her taste.","57","Locksmith","Radio-controlled model playing"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a retired teacher, he enjoys spending his time watching animation movies, his favorite genres are action and comedy, he can watch them for hours without getting bored, he also enjoys painting as a secondary hobby, his favorite color is blue, he loves to travel and visit new places, his favorite destination is Paris, France, he also likes to play chess, his favorite food is pasta, he is a very kind person and always helps others, he is a very interesting person to be around.","68","retired","Animation"
"Anna Johnson","F","['romance', 'family']","['horror', 'action']","a retired nurse, she enjoys spending her time playing bowling, her favorite genres are romance and family, she can watch them for hours without getting bored, she also enjoys knitting as a secondary hobby, her favorite color is pink, she loves to listen to classical music, her favorite destination is Rome, Italy, she also likes to play chess, her favorite food is ice cream, she believes in helping others and is always there for others, she is a very kind and understanding person.","72","retired","Bowling"
"Peter Clark","M","['action', 'horror']","['romance', 'comedy']","an apprentice in a repair shop, he enjoys spending his time doing magnet fishing, his favorite genres are action and horror, he can watch them for hours without getting bored, he also enjoys playing the guitar as a secondary hobby, his favorite color is green, he loves to read mystery books, his favorite destination is New York, USA, he also likes to play chess, his favorite food is pizza, he believes in standing up for others and is always ready for new adventures, he is a very brave and strong person.","20","apprentice","Magnet fishing"
"Emily Johnson","F","['romance', 'family']","['horror', 'action']","a locksmith, she enjoys spending her time playing tennis, her favorite genres are romance and family, she can watch them for hours without getting bored, she also enjoys baking as a secondary hobby, her favorite color is yellow, she loves to listen to pop music, her favorite destination is London, UK, she also likes to play chess, her favorite food is pasta, she believes in helping others and is always there for others, she is a very kind and caring person.","28","Locksmith","Tennis"
"John Smith","M","['action', 'comedy']","['horror', 'romance']","a student of literature. He has a passion for playing cribbage with friends, and he also loves to read books and watch movies. His favorite genres are action and comedy, because they provide excitement and make him laugh. John has a preference for martial arts and superhero movies, he also enjoys comedy movies such as ""The Hangover"" and ""Deadpool"". His least favorite genre is horror, because he does not like to be scared and he finds romance movies boring and predictable.","22","student","Cribbage"
