,name,gender,description,age,job,hobby,genres_liked,genres_disliked
0,Lily Jackson,F,"a CIO (Chief Information Officer) in a tech company and a passionate laser tag player. She enjoys the adrenaline rush of the game and the strategic thinking it requires. In her free time, she also enjoys reading fantasy novels and watching fantasy and action movies. Lily is a big fan of the Lord of the Rings trilogy and the Harry Potter series, she finds the world-building and characters engaging. She also enjoys watching thriller movies, such as the Bourne series, and comedies like The Hangover trilogy. Lily is not a big fan of crime, horror, science fiction and romance movies. She finds crime movies too gritty and horror movies too scary. She is also not a big fan of science fiction as she finds it too hard to follow the plot. And romance movies are not her cup of tea as she finds them too predictable.",30,CIO (Chief Information Officer),Laser tag,"['action', 'fantasy', 'thriller', 'comedy']","['crime', 'horror', 'science fiction', 'romance']"
1,David Thompson,M,"a retired auto racing driver. He enjoys the thrill of the race and the adrenaline rush of driving at high speeds. In his free time, he also enjoys watching crime and thriller movies, such as the Godfather trilogy and the James Bond series, and documentaries about car racing. He finds the fast-paced action and the intricate plot lines of these movies fascinating. He also enjoys watching fantasy movies like the Lord of the Rings trilogy and the Harry Potter series, he finds the world-building and characters engaging. He is not a big fan of romance and science fiction movies, he finds them too predictable and not realistic.",74,retired,Auto racing,"['crime', 'thriller', 'documentary', 'fantasy']","['romance', 'science fiction']"
2,Maria Garcia,F,"a sales representative for a crystal company. She enjoys the beauty of crystals and the energy they possess. In her free time, she also enjoys watching romance, crime, drama, and science fiction movies. She finds the emotional depth and the suspense of these genres captivating. She is a big fan of the Titanic, The Notebook and The Fault in Our Stars, she finds the love stories emotional and romantic. She also enjoys watching crime movies like the Maltese Falcon and science fiction movies like the Matrix series. She is not a big fan of documentary and horror movies, she finds them too dry and too scary.",52,Sales Representative,Crystals,"['romance', 'crime', 'drama', 'science fiction']","['documentary', 'horror']"
3,Ethan Williams,M,"a schoolchild and a passionate basketball player. He enjoys the fast-paced action and the teamwork of the game. In his free time, he also enjoys watching thriller, crime, documentary, and adventure movies. He finds the fast-paced action and the intricate plot lines of these movies fascinating",11,schoolchild,Basketball,"['thriller', 'crime', 'documentary', 'adventure']",['animated']
4,Emily Thompson,F,"a retired engineer with a keen interest in science and technology studies. She has always been fascinated by the way things work and how technology can be used to make people's lives better. She enjoys spending her time reading about new scientific discoveries and advancements, and attending lectures and seminars on the topic. In her free time, she also enjoys watching movies, her favorite genres are animated, action, adventure and thriller. She finds horror movies too scary and science fiction movies too unrealistic. She also dislikes crime and romance movies as she finds them too predictable. Emily is a woman of strong opinions and a love for knowledge, and she enjoys sharing her thoughts and ideas with others.",61,retired,Science and technology studies,"['animated', 'action', 'adventure', 'thriller']","['horror', 'science fiction', 'crime', 'romance']"
5,Michael Johnson,M,"a schoolchild who is passionate about collecting coins. He enjoys spending his time researching and learning about different coins and their history. He also enjoys playing with his friends and going on adventures. He is also a big movie buff and enjoys watching movies, his favorite genres are crime, action, horror, and adventure. He is particularly fond of movies that have a lot of action and suspense. He finds romantic movies too cheesy and romantic comedies too predictable. Michael is a curious and adventurous child who always looks for new challenges and opportunities to learn and grow.",11,schoolchild,Collecting coins,"['crime', 'action', 'horror', 'adventure']",[]
6,Samantha Robinson,F,"a schoolchild who loves building with Lego. She enjoys spending her time creating new and exciting Lego structures and sharing them with others. She is also a big movie fan and enjoys watching movies, her favorite genres are crime, adventure, documentary, and drama. She finds romantic movies too cliche and fantasy movies too unrealistic. She enjoys watching crime and adventure movies because they are exciting and full of action. She also enjoys watching documentaries and dramas because they are based on real events and give her a better understanding of the world. Samantha is a curious and creative child who always looks for new ways to express herself and her ideas.",11,schoolchild,Building with Lego,"['crime', 'adventure', 'documentary', 'drama']","['thriller', 'romance', 'fantasy']"
7,James Anderson,M,"a schoolchild who loves playing the drums. He enjoys spending his time practicing and perfecting his drumming skills. He is also a big movie fan and enjoys watching movies, his favorite genres are documentary, animated, adventure, and romance. He finds crime and horror movies too violent and disturbing. He enjoys watching documentaries because they are based on real events and give him a better understanding of",10,schoolchild,Playing drums,"['documentary', 'animated', 'adventure', 'romance']","['crime', 'horror']"
8,Ava,F,"in third grade and loves to learn new things, her favorite subject is language, she is currently learning the French language, she loves to listen to stories and watch movies that have a romantic theme, her favorite animated movie is Tangled and she loves to watch romantic comedies like The Notebook. She is not a big fan of action, crime, science fiction and thriller movies, as she finds them too intense and scary.",8,schoolchild,Learning a new language,"['romance', 'fantasy', 'animated', 'comedy']","['action', 'crime', 'science fiction', 'thriller']"
9,Marcus,M,"a professional singer, he loves to spend his free time observing things through a microscope and learning about the different microorganisms, he also loves to watch science fiction movies, his favorite movie is The Matrix, he also enjoys watching adventure movies and romantic comedies. He is not a big fan of thriller movies, as they make him too nervous and he doesn't enjoy watching documentaries or animated movies as they are not his cup of tea.",43,Singer,Microscopy,"['comedy', 'romance', 'adventure', 'science fiction']","['thriller', 'documentary', 'animated']"
10,Sophia,F,"a cryptographer, her favorite hobby is playing backgammon, she loves to watch movies that are full of action and drama, her favorite movie is The Dark Knight, she also enjoys watching fantasy movies and romantic movies. She is not a big fan of watching documentary or horror movies, as they are not her cup of tea.",34,Cryptographer,Backgammon,"['action', 'drama', 'fantasy', 'romance']","['documentary', 'horror']"
11,Jackson,M,"a hotel manager and loves to sail, his favorite movie genre is horror, his favorite movie is Psycho, he also enjoys watching romantic movies, adventure movies and crime movies. He is not a big fan of drama, documentary, animated or science fiction movies, as they are not his cup of tea.",58,Hotel Manager,Sailing,"['horror', 'romance', 'adventure', 'crime']","['drama', 'documentary', 'animated', 'science fiction']"
